flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303084059_8a6,08:40:59,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,425.171265,101.812363,0.760538,8.334042

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,214.357132,6978.810547,1
0.010000,302.958008,6978.810547,1
0.020000,335.561157,6978.810547,1
0.030000,359.969269,6978.810547,1
0.040000,380.558960,6978.810547,1
0.050000,395.121918,6978.810547,1
0.060000,404.134155,6978.810547,1
0.070000,409.516449,6978.810547,1
0.080000,412.860260,6978.810547,1
0.090000,415.023193,6978.810547,1
0.100000,416.645752,6978.810547,1
0.110000,417.795166,6978.810547,1
0.120000,418.718567,6978.810547,1
0.130000,419.570801,6978.810547,1
0.140000,420.316101,6978.810547,1
0.150000,420.954834,6978.810547,1
0.160000,421.537415,6978.810547,1
0.170000,421.999084,6978.810547,1
0.180000,422.467224,6978.810547,1
0.190000,422.845245,6978.810547,1
0.200000,423.228607,6978.810547,1
0.210000,423.552643,6978.810547,1
0.220000,423.845520,6978.810547,1
0.230000,424.100891,6978.810547,1
0.240000,424.307587,6978.810547,1
0.250000,424.523590,6978.810547,1
0.260000,424.700256,6978.810547,1
0.270000,424.884094,6978.810547,1
0.280000,425.038574,6978.810547,1
0.290000,425.171265,6978.810547,1
0.300000,425.318237,6920.658203,2
0.310000,425.524963,6862.506348,2
0.320000,425.632599,6804.354004,2
0.330000,425.815704,6746.202148,2
0.340000,425.852173,6688.049805,2
0.350000,426.015961,6629.897949,2
0.360000,426.037445,6571.745605,2
0.370000,426.152954,6513.593750,2
0.380000,426.204071,6455.441406,2
0.390000,426.272034,6397.289551,2
0.400000,426.397552,6339.137207,2
0.410000,426.415100,6280.985352,2
0.420000,426.481262,6222.833008,2
0.430000,426.500214,6164.681152,2
0.440000,426.507721,6106.528809,2
0.450000,426.524170,6048.376953,2
0.460000,426.433685,5990.225098,2
0.470000,426.461945,5932.072754,2
0.480000,426.473724,5873.920898,2
0.490000,426.461212,5815.768555,2
0.500000,426.514862,5757.616699,2
0.510000,426.514496,5699.464355,2
0.520000,426.511292,5641.312500,2
0.530000,426.542755,5583.160156,2
0.540000,426.543121,5525.008301,2
0.550000,426.564209,5466.855957,2
0.560000,426.513428,5408.704102,2
0.570000,426.536316,5350.551758,2
0.580000,426.565277,5292.399902,2
0.590000,426.564575,5234.247559,2
0.600000,425.591827,6978.810547,3
0.610000,425.772797,6978.810547,3
0.620000,425.826416,6978.810547,3
0.630000,425.852173,6978.810547,3
0.640000,425.843231,6978.810547,3
0.650000,425.825348,6978.810547,3
0.660000,425.808563,6978.810547,3
0.670000,425.784241,6978.810547,3
0.680000,425.768494,6978.810547,3
0.690000,425.736664,6978.810547,3
0.700000,425.732025,6978.810547,3
0.710000,425.701263,6978.810547,3
0.720000,425.664062,6978.810547,3
0.730000,425.654053,6978.810547,3
0.740000,425.637238,6978.810547,3
0.750000,425.644043,6978.810547,3
0.760000,425.598969,6978.810547,3
0.770000,425.572144,6978.810547,3
0.780000,425.563202,6978.810547,3
0.790000,425.518158,6978.810547,3
0.800000,425.533539,6978.810547,3
0.810000,425.481323,6978.810547,3
0.820000,425.449127,6978.810547,3
0.830000,425.419098,6978.810547,3
0.839999,425.352936,6978.810547,3
0.849999,425.302155,6978.810547,3
0.859999,425.283539,6978.810547,3
0.869999,425.229919,6978.810547,3
0.879999,425.201294,6978.810547,3
0.889999,425.158020,6978.810547,3
