flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303090337_f29,09:03:37,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,119.038086,82.692505,0.305327,1083.330933

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,92.272636,6978.810547,1
0.010000,101.019501,6978.810547,1
0.020000,104.523895,6978.810547,1
0.030000,107.039810,6978.810547,1
0.040000,108.831879,6978.810547,1
0.050000,110.108253,6978.810547,1
0.060000,111.025215,6978.810547,1
0.070000,111.689331,6978.810547,1
0.080000,112.168907,6978.810547,1
0.090000,112.533691,6978.810547,1
0.100000,112.802628,6978.810547,1
0.110000,113.012550,6978.810547,1
0.120000,113.177422,6978.810547,1
0.130000,113.320473,6978.810547,1
0.140000,113.427040,6978.810547,1
0.150000,113.505005,6978.810547,1
0.160000,113.592621,6978.810547,1
0.170000,113.656998,6978.810547,1
0.180000,113.703850,6978.810547,1
0.190000,113.757851,6978.810547,1
0.200000,113.798615,6978.810547,1
0.210000,113.823296,6978.810547,1
0.220000,113.851189,6978.810547,1
0.230000,113.860847,6978.810547,1
0.240000,113.895538,6978.810547,1
0.250000,113.901260,6978.810547,1
0.260000,113.912704,6978.810547,1
0.270000,113.948822,6978.810547,1
0.280000,113.947388,6978.810547,1
0.290000,113.963844,6978.810547,1
0.300000,113.976715,6920.658203,2
0.310000,113.947388,6862.506348,2
0.320000,113.922714,6804.354004,2
0.330000,113.884445,6746.202148,2
0.340000,113.865135,6688.049805,2
0.350000,113.818291,6629.897949,2
0.360000,113.781448,6571.745605,2
0.370000,113.746048,6513.593750,2
0.380000,113.710999,6455.441406,2
0.390000,113.648415,6397.289551,2
0.400000,113.580826,6339.137207,2
0.410000,113.534691,6280.985352,2
0.420000,113.482475,6222.833008,2
0.430000,113.448860,6164.681152,2
0.440000,113.389847,6106.528809,2
0.450000,113.317253,6048.376953,2
0.460000,113.273262,5990.225098,2
0.470000,113.217834,5932.072754,2
0.480000,113.145592,5873.920898,2
0.490000,113.093735,5815.768555,2
0.500000,113.041878,5757.616699,2
0.510000,112.957123,5699.464355,2
0.520000,112.896683,5641.312500,2
0.530000,112.850548,5583.160156,2
0.540000,112.756851,5525.008301,2
0.550000,112.682816,5466.855957,2
0.560000,112.629890,5408.704102,2
0.570000,112.565163,5350.551758,2
0.580000,112.476471,5292.399902,2
0.590000,112.395645,5234.247559,2
0.600000,113.172768,6978.810547,3
0.610000,113.516090,6978.810547,3
0.620000,113.698486,6978.810547,3
0.630000,113.817574,6978.810547,3
0.640000,113.890526,6978.810547,3
0.650000,113.935234,6978.810547,3
0.660000,113.972786,6978.810547,3
0.670000,113.992455,6978.810547,3
0.680000,114.004257,6978.810547,3
0.690000,114.008545,6978.810547,3
0.700000,114.034653,6978.810547,3
0.710000,114.035370,6978.810547,3
0.720000,114.030006,6978.810547,3
0.730000,114.034294,6978.810547,3
0.740000,114.043594,6978.810547,3
0.750000,114.046814,6978.810547,3
0.760000,114.047531,6978.810547,3
0.770000,114.042519,6978.810547,3
0.780000,114.044312,6978.810547,3
0.790000,114.043594,6978.810547,3
0.800000,114.057899,6978.810547,3
0.810000,114.047173,6978.810547,3
0.820000,114.037872,6978.810547,3
0.830000,114.048241,6978.810547,3
0.839999,114.055038,6978.810547,3
0.849999,114.042160,6978.810547,3
0.859999,114.051102,6978.810547,3
0.869999,114.050034,6978.810547,3
0.879999,114.042877,6978.810547,3
0.889999,114.032867,6978.810547,3
