flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303092932_60d,09:29:32,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,107.832611,90.621826,0.159606,1535.319214

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,96.177223,6978.810547,1
0.010000,100.524902,6978.810547,1
0.020000,102.070213,6978.810547,1
0.030000,103.051544,6978.810547,1
0.040000,103.680611,6978.810547,1
0.050000,104.113342,6978.810547,1
0.060000,104.394791,6978.810547,1
0.070000,104.571106,6978.810547,1
0.080000,104.718803,6978.810547,1
0.090000,104.812500,6978.810547,1
0.100000,104.914787,6978.810547,1
0.110000,104.980232,6978.810547,1
0.120000,105.018852,6978.810547,1
0.130000,105.062126,6978.810547,1
0.140000,105.100037,6978.810547,1
0.150000,105.124352,6978.810547,1
0.160000,105.134369,6978.810547,1
0.170000,105.163696,6978.810547,1
0.180000,105.171204,6978.810547,1
0.190000,105.181931,6978.810547,1
0.200000,105.189445,6978.810547,1
0.210000,105.191948,6978.810547,1
0.220000,105.203751,6978.810547,1
0.230000,105.210541,6978.810547,1
0.240000,105.214478,6978.810547,1
0.250000,105.211975,6978.810547,1
0.260000,105.209114,6978.810547,1
0.270000,105.207321,6978.810547,1
0.280000,105.209824,6978.810547,1
0.290000,105.223061,6978.810547,1
0.300000,105.200172,6920.658203,2
0.310000,105.193375,6862.506348,2
0.320000,105.173347,6804.354004,2
0.330000,105.161903,6746.202148,2
0.340000,105.143311,6688.049805,2
0.350000,105.110764,6629.897949,2
0.360000,105.107544,6571.745605,2
0.370000,105.078575,6513.593750,2
0.380000,105.053185,6455.441406,2
0.390000,105.024574,6397.289551,2
0.400000,104.990959,6339.137207,2
0.410000,104.971291,6280.985352,2
0.420000,104.948761,6222.833008,2
0.430000,104.928017,6164.681152,2
0.440000,104.891541,6106.528809,2
0.450000,104.840759,6048.376953,2
0.460000,104.821083,5990.225098,2
0.470000,104.786392,5932.072754,2
0.480000,104.754211,5873.920898,2
0.490000,104.732750,5815.768555,2
0.500000,104.704140,5757.616699,2
0.510000,104.660507,5699.464355,2
0.520000,104.638695,5641.312500,2
0.530000,104.616524,5583.160156,2
0.540000,104.562523,5525.008301,2
0.550000,104.532837,5466.855957,2
0.560000,104.508163,5408.704102,2
0.570000,104.467392,5350.551758,2
0.580000,104.429840,5292.399902,2
0.590000,104.377983,5234.247559,2
0.600000,104.687691,6978.810547,3
0.610000,104.844330,6978.810547,3
0.620000,104.938034,6978.810547,3
0.630000,104.969498,6978.810547,3
0.640000,105.005623,6978.810547,3
0.650000,105.022430,6978.810547,3
0.660000,105.030655,6978.810547,3
0.670000,105.025650,6978.810547,3
0.680000,105.039597,6978.810547,3
0.690000,105.038521,6978.810547,3
0.700000,105.038521,6978.810547,3
0.710000,105.027435,6978.810547,3
0.720000,105.026009,6978.810547,3
0.730000,105.033875,6978.810547,3
0.740000,105.029228,6978.810547,3
0.750000,105.029587,6978.810547,3
0.760000,105.016708,6978.810547,3
0.770000,105.004189,6978.810547,3
0.780000,105.010986,6978.810547,3
0.790000,105.010269,6978.810547,3
0.800000,105.010269,6978.810547,3
0.810000,105.007767,6978.810547,3
0.820000,105.006699,6978.810547,3
0.830000,104.997757,6978.810547,3
0.839999,104.993462,6978.810547,3
0.849999,104.992386,6978.810547,3
0.859999,104.987381,6978.810547,3
0.869999,104.972366,6978.810547,3
0.879999,104.972717,6978.810547,3
0.889999,104.965210,6978.810547,3
