flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303133804_28b,13:38:04,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,89.575348,72.420357,0.191515,1979.880127

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,78.314064,6978.810547,1
0.010000,82.883835,6978.810547,1
0.020000,84.451675,6978.810547,1
0.030000,85.316063,6978.810547,1
0.040000,85.816383,6978.810547,1
0.050000,86.114647,6978.810547,1
0.060000,86.318497,6978.810547,1
0.070000,86.427567,6978.810547,1
0.080000,86.534859,6978.810547,1
0.090000,86.589577,6978.810547,1
0.100000,86.634636,6978.810547,1
0.110000,86.672905,6978.810547,1
0.120000,86.702942,6978.810547,1
0.130000,86.724045,6978.810547,1
0.140000,86.735847,6978.810547,1
0.150000,86.753014,6978.810547,1
0.160000,86.785553,6978.810547,1
0.170000,86.806297,6978.810547,1
0.180000,86.810593,6978.810547,1
0.190000,86.819168,6978.810547,1
0.200000,86.819885,6978.810547,1
0.210000,86.824539,6978.810547,1
0.220000,86.837051,6978.810547,1
0.230000,86.835983,6978.810547,1
0.240000,86.840630,6978.810547,1
0.250000,86.850998,6978.810547,1
0.260000,86.864944,6978.810547,1
0.270000,86.871384,6978.810547,1
0.280000,86.869598,6978.810547,1
0.290000,86.879608,6978.810547,1
0.300000,86.886765,6920.658203,2
0.310000,86.852074,6862.506348,2
0.320000,86.837769,6804.354004,2
0.330000,86.821678,6746.202148,2
0.340000,86.804153,6688.049805,2
0.350000,86.782333,6629.897949,2
0.360000,86.771248,6571.745605,2
0.370000,86.741570,6513.593750,2
0.380000,86.744072,6455.441406,2
0.390000,86.702942,6397.289551,2
0.400000,86.653946,6339.137207,2
0.410000,86.632492,6280.985352,2
0.420000,86.608528,6222.833008,2
0.430000,86.593506,6164.681152,2
0.440000,86.556671,6106.528809,2
0.450000,86.528778,6048.376953,2
0.460000,86.511612,5990.225098,2
0.470000,86.473701,5932.072754,2
0.480000,86.425064,5873.920898,2
0.490000,86.400749,5815.768555,2
0.500000,86.372498,5757.616699,2
0.510000,86.336014,5699.464355,2
0.520000,86.307053,5641.312500,2
0.530000,86.269142,5583.160156,2
0.540000,86.214783,5525.008301,2
0.550000,86.182953,5466.855957,2
0.560000,86.145042,5408.704102,2
0.570000,86.120369,5350.551758,2
0.580000,86.062431,5292.399902,2
0.590000,86.031677,5234.247559,2
0.600000,86.522339,6978.810547,3
0.610000,86.721893,6978.810547,3
0.620000,86.810234,6978.810547,3
0.630000,86.838844,6978.810547,3
0.640000,86.845276,6978.810547,3
0.650000,86.856369,6978.810547,3
0.660000,86.847778,6978.810547,3
0.670000,86.859581,6978.810547,3
0.680000,86.862442,6978.810547,3
0.690000,86.860657,6978.810547,3
0.700000,86.851357,6978.810547,3
0.710000,86.846710,6978.810547,3
0.720000,86.840271,6978.810547,3
0.730000,86.850647,6978.810547,3
0.740000,86.853149,6978.810547,3
0.750000,86.837769,6978.810547,3
0.760000,86.837410,6978.810547,3
0.770000,86.838486,6978.810547,3
0.780000,86.844566,6978.810547,3
0.790000,86.835983,6978.810547,3
0.800000,86.824890,6978.810547,3
0.810000,86.824890,6978.810547,3
0.820000,86.827042,6978.810547,3
0.830000,86.815239,6978.810547,3
0.839999,86.815598,6978.810547,3
0.849999,86.816315,6978.810547,3
0.859999,86.797714,6978.810547,3
0.869999,86.807014,6978.810547,3
0.879999,86.795570,6978.810547,3
0.889999,86.804153,6978.810547,3
