flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303140054_44a,14:00:54,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,164.542786,135.567780,0.176094,1747.951294

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,144.905090,6978.810547,1
0.010000,152.629501,6978.810547,1
0.020000,155.478714,6978.810547,1
0.030000,157.235031,6978.810547,1
0.040000,158.316498,6978.810547,1
0.050000,159.002426,6978.810547,1
0.060000,159.434433,6978.810547,1
0.070000,159.727341,6978.810547,1
0.080000,159.952637,6978.810547,1
0.090000,160.112137,6978.810547,1
0.100000,160.241959,6978.810547,1
0.110000,160.337799,6978.810547,1
0.120000,160.410400,6978.810547,1
0.130000,160.472626,6978.810547,1
0.140000,160.522339,6978.810547,1
0.150000,160.563110,6978.810547,1
0.160000,160.603516,6978.810547,1
0.170000,160.626053,6978.810547,1
0.180000,160.662170,6978.810547,1
0.190000,160.672546,6978.810547,1
0.200000,160.704376,6978.810547,1
0.210000,160.709381,6978.810547,1
0.220000,160.729401,6978.810547,1
0.230000,160.740494,6978.810547,1
0.240000,160.737274,6978.810547,1
0.250000,160.761948,6978.810547,1
0.260000,160.768753,6978.810547,1
0.270000,160.772324,6978.810547,1
0.280000,160.782700,6978.810547,1
0.290000,160.785202,6978.810547,1
0.300000,160.806656,6920.658203,2
0.310000,160.793060,6862.506348,2
0.320000,160.784836,6804.354004,2
0.330000,160.739426,6746.202148,2
0.340000,160.737991,6688.049805,2
0.350000,160.683990,6629.897949,2
0.360000,160.677551,6571.745605,2
0.370000,160.624619,6513.593750,2
0.380000,160.627838,6455.441406,2
0.390000,160.590286,6397.289551,2
0.400000,160.532715,6339.137207,2
0.410000,160.503036,6280.985352,2
0.420000,160.472275,6222.833008,2
0.430000,160.429352,6164.681152,2
0.440000,160.382874,6106.528809,2
0.450000,160.327072,6048.376953,2
0.460000,160.308121,5990.225098,2
0.470000,160.259842,5932.072754,2
0.480000,160.204407,5873.920898,2
0.490000,160.172943,5815.768555,2
0.500000,160.127518,5757.616699,2
0.510000,160.065643,5699.464355,2
0.520000,160.037750,5641.312500,2
0.530000,159.990189,5583.160156,2
0.540000,159.924026,5525.008301,2
0.550000,159.859650,5466.855957,2
0.560000,159.818176,5408.704102,2
0.570000,159.781693,5350.551758,2
0.580000,159.716248,5292.399902,2
0.590000,159.637924,5234.247559,2
0.600000,160.264130,6978.810547,3
0.610000,160.548447,6978.810547,3
0.620000,160.686844,6978.810547,3
0.630000,160.773041,6978.810547,3
0.640000,160.803085,6978.810547,3
0.650000,160.814163,6978.810547,3
0.660000,160.821320,6978.810547,3
0.670000,160.838837,6978.810547,3
0.680000,160.839554,6978.810547,3
0.690000,160.846359,6978.810547,3
0.700000,160.857803,6978.810547,3
0.710000,160.837418,6978.810547,3
0.720000,160.838837,6978.810547,3
0.730000,160.858154,6978.810547,3
0.740000,160.842422,6978.810547,3
0.750000,160.839554,6978.810547,3
0.760000,160.844925,6978.810547,3
0.770000,160.833115,6978.810547,3
0.780000,160.846710,6978.810547,3
0.790000,160.839920,6978.810547,3
0.800000,160.857437,6978.810547,3
0.810000,160.844559,6978.810547,3
0.820000,160.833481,6978.810547,3
0.830000,160.846710,6978.810547,3
0.839999,160.845642,6978.810547,3
0.849999,160.839203,6978.810547,3
0.859999,160.840271,6978.810547,3
0.869999,160.837769,6978.810547,3
0.879999,160.850647,6978.810547,3
0.889999,160.820602,6978.810547,3
