flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20260303153020_1b7,15:30:20,2026-03-03,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,155.444778,126.330612,0.187296,1850.662354

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,136.077759,6978.810547,1
0.010000,144.098633,6978.8105978.810547,1
0.020000,147.042633,6978.810547,1
0.030000,148.558975,6978.810547,1
0.040000,149.332520,6978.810547,1
0.050000,149.750946,6978.810547,1
0.060000,150.033829,6978.810547,1
0.070000,150.181168,6978.810547,1
0.080000,150.314926,6978.810547,1
0.090000,150.396820,6978.810547,1
0.100000,150.477646,6978.810547,1
0.110000,150.511978,6978.810547,1
0.120000,150.563843,6978.810547,1
0.130000,150.596375,6978.810547,1
0.140000,150.613541,6978.810547,1
0.150000,150.650742,6978.810547,1
0.160000,150.675064,6978.810547,1
0.170000,150.679352,6978.810547,1
0.180000,150.713684,6978.810547,1
0.190000,150.712250,6978.810547,1
0.200000,150.747650,6978.810547,1
0.210000,150.755173,6978.810547,1
0.220000,150.762314,6978.810547,1
0.230000,150.777344,6978.810547,1
0.240000,150.793076,6920.658203,1
0.250000,150.789505,6862.506348,1
0.260000,150.808456,6804.354004,1
0.270000,150.816681,6746.202148,1
0.280000,150.830627,6688.049805,1
0.290000,150.830627,6629.897949,1
0.300000,150.843857,6571.745605,2
0.310000,150.790573,6513.593750,2
0.320000,150.789505,6455.441406,2
0.330000,150.749084,6397.289551,2
0.340000,150.724762,6339.137207,2
0.350000,150.663254,6280.985352,2
0.360000,150.655396,6222.833008,2
0.370000,150.599960,6164.681152,2
0.380000,150.578857,6106.528809,2
0.390000,150.513412,6048.376953,2
0.400000,150.475861,5990.225098,2
0.410000,150.434021,5932.072754,2
0.420000,150.386459,5873.920898,2
0.430000,150.362854,5815.768555,2
0.440000,150.307419,5757.616699,2
0.450000,150.237320,5699.464355,2
0.460000,150.209076,5641.312500,2
0.470000,150.146835,5583.160156,2
0.480000,150.082108,5525.008301,2
0.490000,150.040268,5466.855957,2
0.500000,149.986267,5408.704102,2
0.510000,149.907227,5350.551758,2
0.520000,149.870392,5292.399902,2
0.530000,149.799225,5234.247559,2
0.540000,149.725555,6978.810547,2
0.550000,149.628281,6978.810547,2
0.560000,149.601822,6978.810547,2
0.570000,149.534576,6978.810547,2
0.580000,149.458771,6978.810547,2
0.590000,149.372940,6978.810547,2
0.600000,150.181534,6978.810547,3
0.610000,150.513046,6978.810547,3
0.620000,150.662903,6978.810547,3
0.630000,150.729065,6978.810547,3
0.640000,150.751953,6978.810547,3
0.650000,150.770187,6978.810547,3
0.660000,150.774475,6978.810547,3
0.670000,150.792358,6978.810547,3
0.680000,150.795227,6978.810547,3
0.690000,150.792725,6978.810547,3
0.700000,150.791290,6978.810547,3
0.710000,150.773041,6978.810547,3
0.720000,150.795578,6978.810547,3
0.730000,150.791290,6978.810547,3
0.740000,150.790222,6978.810547,3
0.750000,150.795227,6978.810547,3
0.760000,150.806305,6978.810547,3
0.770000,150.807373,6978.810547,3
0.780000,150.811676,6978.810547,3
0.790000,150.817749,6978.810547,3
0.800000,150.808807,6978.810547,3
0.810000,150.810593,6978.810547,3
0.820000,150.798080,6978.810547,3
0.830000,150.803452,6978.810547,3
0.839999,150.800232,,3
0.849999,150.796646,,3
0.859999,150.797012,,3
0.869999,150.800949,,3
0.879999,150.804520,,3
0.889999,150.799866,,3
